group,artifact,version,classification,license,source_pom,pom_chain,fetch_status
io.netty,netty-codec-socks,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-codec-socks/4.2.18.Final/netty-codec-socks-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-codec,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-codec/4.2.18.Final/netty-codec-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-common,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-common/4.2.18.Final/netty-common-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-handler-proxy,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-handler-proxy/4.2.18.Final/netty-handler-proxy-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-handler,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-handler/4.2.18.Final/netty-handler-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-resolver,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-resolver/4.2.18.Final/netty-resolver-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-transport-native-unix-common,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-transport-native-unix-common/4.2.18.Final/netty-transport-native-unix-common-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-transport,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-transport/4.2.18.Final/netty-transport-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.pebbletemplates,pebble,4.1.2,parent-pom,BSD 3-Clause License <http://opensource.org/licenses/BSD-3-Clause>,https://repo.maven.apache.org/maven2/io/pebbletemplates/pebble-project/4.1.2/pebble-project-4.1.2.pom,https://repo.maven.apache.org/maven2/io/pebbletemplates/pebble/4.1.2/pebble-4.1.2.pom | https://repo.maven.apache.org/maven2/io/pebbletemplates/pebble-project/4.1.2/pebble-project-4.1.2.pom,ok | ok
io.prometheus,prometheus-metrics-config,1.3.10,parent-pom,"The Apache Software License, Version 2.0 <http://www.apache.org/licenses/LICENSE-2.0.txt>",https://repo.maven.apache.org/maven2/io/prometheus/client_java_parent/1.3.10/client_java_parent-1.3.10.pom,https://repo.maven.apache.org/maven2/io/prometheus/prometheus-metrics-config/1.3.10/prometheus-metrics-config-1.3.10.pom | https://repo.maven.apache.org/maven2/io/prometheus/client_java/1.3.10/client_java-1.3.10.pom | https://repo.maven.apache.org/maven2/io/prometheus/client_java_parent/1.3.10/client_java_parent-1.3.10.pom,ok | ok | ok
